Origin,Sex,Value,Date
Bahama,Maschio,0,01-01-2000
Bahama,Maschio,0,01-01-2001
Bahama,Maschio,0,01-01-2002
Bahama,Maschio,0,01-01-2003
Bahama,Maschio,0,01-01-2004
Bahama,Maschio,0,01-01-2005
Bahama,Maschio,0,01-01-2006
Bahama,Maschio,0,01-01-2007
Bahama,Maschio,0,01-01-2008
Bahama,Maschio,0,01-01-2009
Bahama,Maschio,0,01-01-2010
Bahama,Maschio,0,01-01-2011
Bahama,Maschio,0,01-01-2012
Bahama,Maschio,0,01-01-2013
Bangladesh,Maschio,11,01-01-1987
Bangladesh,Maschio,13,01-01-1988
Bangladesh,Maschio,14,01-01-1989
Bangladesh,Maschio,16,01-01-1990
Bangladesh,Maschio,87,01-01-1991
Bangladesh,Maschio,0,01-01-1992
Bangladesh,Maschio,309,01-01-1993
Bangladesh,Maschio,317,01-01-1994
Bangladesh,Maschio,312,01-01-1995
Bangladesh,Maschio,321,01-01-1996
Bangladesh,Maschio,416,01-01-1997
Bangladesh,Maschio,587,01-01-1998
Bangladesh,Maschio,655,01-01-1999
Bangladesh,Maschio,931,01-01-2000
Bangladesh,Maschio,1262,01-01-2001
Bangladesh,Maschio,1254,01-01-2002
Bangladesh,Maschio,997,01-01-2003
Bangladesh,Maschio,1659,01-01-2004
Bangladesh,Maschio,1823,01-01-2005
Bangladesh,Maschio,1891,01-01-2006
Bangladesh,Maschio,1938,01-01-2007
Bangladesh,Maschio,2022,01-01-2008
Bangladesh,Maschio,2473,01-01-2009
Bangladesh,Maschio,2920,01-01-2010
Bangladesh,Maschio,3637,01-01-2011
Bangladesh,Maschio,4754,01-01-2012
Bangladesh,Maschio,5334,01-01-2013
Barbados,Maschio,0,01-01-1987
Barbados,Maschio,0,01-01-1988
Barbados,Maschio,0,01-01-1989
Barbados,Maschio,0,01-01-1990
Barbados,Maschio,0,01-01-1991
Barbados,Maschio,0,01-01-1992
Barbados,Maschio,0,01-01-1993
Barbados,Maschio,0,01-01-1994
Barbados,Maschio,0,01-01-1995
Barbados,Maschio,0,01-01-1996
Barbados,Maschio,0,01-01-1997
Barbados,Maschio,0,01-01-1998
Barbados,Maschio,1,01-01-1999
Barbados,Maschio,1,01-01-2000
Barbados,Maschio,1,01-01-2001
Barbados,Maschio,1,01-01-2002
Barbados,Maschio,1,01-01-2003
Barbados,Maschio,1,01-01-2004
Barbados,Maschio,1,01-01-2005
Barbados,Maschio,1,01-01-2006
Barbados,Maschio,1,01-01-2007
